                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                  1.293,                0.76762,                0.93905,                0.78316,                0.82061,                0.86032,                0.54471,                 1.2534,                0.81691,                0.97882,              0.0012426,              0.0012426,              0.0012426
                    155,                 1.2979,                0.75917,                 0.9243,                 0.6568,                0.70124,                0.68672,                0.40336,                  1.531,                 1.0824,                 1.1694,              0.0012377,              0.0012377,              0.0012377
                    156,                 1.2761,                0.75955,                0.93284,                0.81868,                0.77099,                0.82364,                0.49387,                 1.3996,                0.88562,                 1.0359,              0.0012328,              0.0012328,              0.0012328
                    157,                 1.2788,                0.76644,                0.92511,                0.84056,                0.77481,                0.84903,                0.53952,                 1.2858,                0.81103,                0.98388,              0.0012278,              0.0012278,              0.0012278
                    158,                  1.286,                0.75628,                0.93093,                0.87365,                0.77863,                0.87395,                0.56795,                 1.2127,                0.80637,                0.96905,              0.0012228,              0.0012228,              0.0012228
                    159,                 1.2552,                0.75051,                0.92877,                0.83911,                0.79624,                 0.8605,                0.55577,                 1.2467,                0.79726,                0.97832,              0.0012179,              0.0012179,              0.0012179
                    160,                 1.2603,                0.74767,                 0.9242,                0.82369,                0.82824,                0.86327,                 0.5563,                 1.2036,                0.79699,                0.97313,              0.0012129,              0.0012129,              0.0012129
                    161,                 1.2461,                0.74899,                0.92648,                0.90179,                0.79008,                0.86389,                0.54631,                 1.2689,                0.80968,                0.97694,               0.001208,               0.001208,               0.001208
                    162,                 1.2649,                 0.7507,                0.93462,                0.84005,                 0.8018,                0.86466,                0.55767,                  1.219,                0.80465,                0.98838,               0.001203,               0.001203,               0.001203
                    163,                 1.2586,                0.75055,                0.92618,                0.86764,                0.80062,                0.87154,                 0.5434,                 1.2647,                 0.8123,                0.98438,              0.0011981,              0.0011981,              0.0011981
                    164,                 1.2492,                0.74127,                0.92631,                0.87278,                0.82824,                0.85905,                0.54043,                 1.2542,                0.81907,                 1.0056,              0.0011932,              0.0011932,              0.0011932
                    165,                 1.2621,                0.75574,                0.92008,                0.85785,                0.77481,                0.86302,                0.54411,                  1.273,                0.80893,                 1.0004,              0.0011882,              0.0011882,              0.0011882
                    166,                 1.2609,                0.76354,                0.92349,                 0.8327,                0.79789,                0.86577,                0.54089,                 1.2827,                0.81385,                0.96962,              0.0011833,              0.0011833,              0.0011833
                    167,                 1.2578,                0.74366,                0.92577,                 0.8738,                0.82824,                0.87311,                 0.5629,                 1.2308,                0.82081,                0.96145,              0.0011783,              0.0011783,              0.0011783
                    168,                 1.2686,                0.75705,                0.92533,                0.89243,                0.75996,                0.85908,                0.50685,                 1.3631,                0.84705,                 1.0168,              0.0011734,              0.0011734,              0.0011734
                    169,                 1.2457,                0.74912,                0.93167,                0.82959,                0.81757,                0.85422,                0.53424,                 1.2792,                0.82759,                0.97781,              0.0011684,              0.0011684,              0.0011684
                    170,                 1.2423,                0.74027,                0.92205,                0.83871,                 0.7939,                0.85504,                0.54676,                 1.2333,                0.80553,                0.96749,              0.0011635,              0.0011635,              0.0011635
                    171,                 1.2449,                0.73921,                0.92603,                 0.8008,                0.78253,                0.83068,                0.49264,                 1.3816,                0.94129,                 1.0319,              0.0011585,              0.0011585,              0.0011585
                    172,                 1.2595,                0.73554,                0.92701,                0.86848,                0.80534,                 0.8573,                0.52914,                 1.3348,                0.82417,                0.99686,              0.0011536,              0.0011536,              0.0011536
                    173,                  1.277,                0.75145,                0.92133,                0.78864,                0.75482,                0.80209,                0.46359,                 1.4415,                0.95864,                 1.0572,              0.0011486,              0.0011486,              0.0011486
                    174,                 1.2488,                0.74302,                0.92187,                0.83464,                0.82443,                 0.8771,                 0.5411,                 1.3166,                0.82494,                0.97375,              0.0011437,              0.0011437,              0.0011437
                    175,                 1.2337,                0.74718,                0.92507,                0.83186,                0.81198,                0.86376,                0.54915,                 1.2501,                0.78364,                 0.9503,              0.0011387,              0.0011387,              0.0011387
                    176,                 1.2386,                0.74031,                0.93064,                0.88222,                0.81679,                0.88769,                0.55372,                 1.2829,                0.78977,                 0.9675,              0.0011337,              0.0011337,              0.0011337
                    177,                 1.2481,                0.73486,                0.91975,                0.86274,                0.80534,                0.86616,                0.54672,                 1.2591,                0.80341,                0.97341,              0.0011288,              0.0011288,              0.0011288
                    178,                 1.2349,                0.72744,                0.92198,                0.85986,                0.79621,                0.87166,                0.55219,                 1.2352,                0.78083,                0.97541,              0.0011239,              0.0011239,              0.0011239
                    179,                 1.1837,                 0.7173,                 0.9245,                0.81755,                0.82092,                0.87317,                0.54148,                 1.2792,                0.79519,                0.99762,              0.0011189,              0.0011189,              0.0011189
                    180,                 1.2324,                0.73324,                0.92041,                0.91127,                0.80916,                0.90089,                0.55116,                 1.2482,                0.78213,                  0.955,               0.001114,               0.001114,               0.001114
                    181,                  1.235,                0.73924,                0.93279,                0.85758,                0.80438,                0.87576,                0.56576,                 1.2181,                0.81054,                0.96922,               0.001109,               0.001109,               0.001109
                    182,                 1.2337,                0.73487,                0.91938,                 0.8427,                0.76718,                0.84023,                0.47855,                 1.4591,                 0.9061,                 1.0551,              0.0011041,              0.0011041,              0.0011041
                    183,                 1.2422,                0.72903,                0.91959,                0.78629,                0.82061,                0.84347,                0.51644,                   1.35,                0.85551,                 1.0253,              0.0010991,              0.0010991,              0.0010991
