                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5914,                 1.0435,                 1.0509,                 0.8228,                0.74436,                0.84148,                0.45103,                 1.4808,                 1.0267,                 1.0885,              0.0018367,              0.0018367,              0.0018367
                     35,                 1.6323,                 1.0574,                 1.0449,                0.82525,                0.73282,                0.80639,                0.44329,                  1.498,                 1.0749,                 1.0982,              0.0018317,              0.0018317,              0.0018317
                     36,                 1.6274,                 1.0475,                 1.0423,                0.76394,                0.74111,                0.80455,                0.44211,                 1.4794,                 1.1098,                 1.1172,              0.0018267,              0.0018267,              0.0018267
                     37,                 1.6294,                 1.0412,                 1.0375,                0.72056,                0.70229,                0.76807,                0.41787,                  1.528,                 1.1256,                  1.111,              0.0018218,              0.0018218,              0.0018218
                     38,                 1.5927,                 1.0363,                 1.0484,                 0.7769,                0.73664,                0.77125,                 0.4207,                 1.5073,                 1.0749,                 1.0973,              0.0018168,              0.0018168,              0.0018168
                     39,                 1.5915,                 1.0371,                 1.0438,                0.76419,                0.70505,                0.79723,                 0.4192,                 1.6038,                 1.1113,                 1.1075,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.6043,                 1.0388,                 1.0401,                0.72839,                 0.7472,                0.79116,                0.45194,                 1.5257,                 1.0847,                 1.0959,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.5873,                 1.0271,                 1.0424,                0.42625,                0.45802,                0.40574,                0.20152,                 1.9793,                 1.5594,                 1.3767,               0.001802,               0.001802,               0.001802
                     42,                 1.5925,                 1.0374,                 1.0457,                0.57495,                 0.6145,                0.59652,                0.30708,                 1.6888,                 1.2829,                 1.2623,              0.0017971,              0.0017971,              0.0017971
                     43,                 1.5645,                 1.0084,                  1.026,                0.79864,                0.74178,                0.82765,                0.47509,                 1.4661,                0.98928,                 1.0902,              0.0017921,              0.0017921,              0.0017921
                     44,                 1.5758,                 1.0062,                 1.0243,                0.75276,                0.75191,                0.80702,                0.47369,                 1.4511,                 1.0484,                 1.0506,              0.0017872,              0.0017872,              0.0017872
                     45,                  1.558,                 1.0249,                 1.0175,                0.78608,                0.74046,                0.81632,                0.46252,                 1.4575,                 1.0521,                 1.0446,              0.0017822,              0.0017822,              0.0017822
                     46,                 1.5701,                  1.007,                 1.0267,                 0.7984,                0.72554,                0.80069,                0.43581,                  1.583,                 1.0475,                  1.092,              0.0017772,              0.0017772,              0.0017772
                     47,                 1.5733,                  1.002,                 1.0292,                0.73844,                0.74046,                0.76268,                0.43086,                 1.5313,                 1.1003,                 1.1091,              0.0017723,              0.0017723,              0.0017723
                     48,                   1.55,                0.99253,                 1.0248,                0.80435,                0.72519,                0.80542,                0.46089,                 1.4123,                 1.0853,                  1.077,              0.0017674,              0.0017674,              0.0017674
                     49,                 1.5766,                  1.003,                 1.0126,                0.49229,                0.57634,                 0.5543,                0.31548,                 1.6286,                 1.5007,                 1.1788,              0.0017624,              0.0017624,              0.0017624
                     50,                 1.5683,                0.98611,                  1.011,                0.78457,                0.77863,                0.82072,                0.46694,                 1.4264,                 1.0348,                 1.0569,              0.0017575,              0.0017575,              0.0017575
                     51,                 1.5219,                0.99354,                 1.0217,                0.84902,                0.70829,                0.81368,                0.46782,                 1.4634,                 1.0444,                 1.0725,              0.0017525,              0.0017525,              0.0017525
                     52,                 1.5591,                0.99611,                 1.0184,                 0.6504,                 0.6145,                 0.6865,                0.36791,                 1.6313,                 1.2044,                 1.1271,              0.0017476,              0.0017476,              0.0017476
                     53,                 1.5322,                0.99513,                 1.0175,                0.78905,                0.72809,                 0.7904,                0.44808,                 1.4731,                 1.0349,                 1.0842,              0.0017426,              0.0017426,              0.0017426
                     54,                 1.5212,                 0.9527,                  1.003,                 0.7867,                0.74809,                0.80013,                0.45333,                 1.4851,                 1.0069,                 1.0602,              0.0017376,              0.0017376,              0.0017376
                     55,                 1.5223,                 0.9623,                 1.0087,                0.82739,                0.73664,                0.81108,                0.47532,                 1.3957,                0.97672,                 1.0346,              0.0017327,              0.0017327,              0.0017327
                     56,                  1.593,                0.99091,                 1.0263,                0.67723,                0.60687,                0.68023,                0.38344,                 1.5604,                 1.2561,                 1.1567,              0.0017278,              0.0017278,              0.0017278
                     57,                 1.5676,                0.99374,                 1.0208,                0.75784,                0.76446,                0.77824,                0.45188,                  1.417,                  1.131,                 1.0589,              0.0017228,              0.0017228,              0.0017228
                     58,                 1.4896,                0.95146,                0.99578,                0.80845,                0.76718,                0.80692,                0.49132,                 1.3576,                0.97242,                 1.0232,              0.0017179,              0.0017179,              0.0017179
                     59,                 1.5081,                0.95606,                0.99363,                0.72793,                0.72519,                0.76957,                 0.4173,                 1.6278,                 1.0825,                 1.0563,              0.0017129,              0.0017129,              0.0017129
                     60,                 1.5109,                 0.9539,                 1.0005,                0.75066,                0.75573,                0.78425,                0.47081,                  1.425,                 1.0329,                 1.0453,               0.001708,               0.001708,               0.001708
                     61,                 1.5455,                0.96813,                 1.0154,                0.83768,                0.78791,                0.84709,                0.50059,                 1.3932,                0.94824,                 1.0376,               0.001703,               0.001703,               0.001703
                     62,                 1.5326,                0.95083,                0.99262,                0.85023,                0.77481,                0.84605,                0.49773,                 1.4101,                0.96305,                 1.0608,               0.001698,               0.001698,               0.001698
                     63,                 1.4969,                0.94214,                0.99626,                 0.7806,                0.69259,                0.74329,                0.39245,                 1.6369,                 1.1036,                 1.1839,              0.0016931,              0.0016931,              0.0016931
                     64,                 1.5248,                0.96353,                  1.001,                0.76341,                0.71756,                0.80432,                0.45823,                 1.4434,                  1.005,                 1.0407,              0.0016882,              0.0016882,              0.0016882
                     65,                 1.4626,                0.92145,                0.99633,                0.76285,                0.73664,                0.78432,                0.43745,                 1.5232,                 1.0153,                  1.078,              0.0016832,              0.0016832,              0.0016832
                     66,                  1.505,                0.94126,                0.99701,                  0.751,                0.72523,                0.76954,                0.45377,                 1.4322,                 1.0084,                 1.0976,              0.0016783,              0.0016783,              0.0016783
                     67,                 1.4952,                0.94095,                0.99545,                0.85093,                0.78626,                0.86305,                0.52353,                 1.3479,                0.90231,                 1.0385,              0.0016733,              0.0016733,              0.0016733
                     68,                  1.524,                 0.9397,                0.99819,                0.82181,                0.77099,                0.84271,                0.49208,                 1.4595,                0.94945,                 1.0215,              0.0016684,              0.0016684,              0.0016684
                     69,                 1.5162,                0.93644,                 1.0048,                0.84327,                0.71874,                0.82911,                0.49248,                 1.4144,                0.97014,                 1.0343,              0.0016634,              0.0016634,              0.0016634
                     70,                  1.503,                0.93177,                0.99479,                0.78857,                0.76874,                0.81575,                0.47107,                 1.4607,                  1.004,                 1.0511,              0.0016585,              0.0016585,              0.0016585
                     71,                 1.4943,                0.93027,                0.99724,                0.77693,                0.75191,                 0.8018,                0.47878,                 1.4058,                0.98984,                 1.0338,              0.0016535,              0.0016535,              0.0016535
                     72,                 1.4668,                0.90402,                0.98469,                0.84187,                0.77099,                0.83254,                0.50519,                 1.3839,                0.96692,                 1.0141,              0.0016485,              0.0016485,              0.0016485
                     73,                 1.4751,                0.90754,                0.98336,                0.84294,                0.75954,                0.85054,                0.51049,                 1.3618,                0.95036,                 1.0131,              0.0016436,              0.0016436,              0.0016436
                     74,                 1.4915,                0.91594,                0.98825,                0.76155,                0.78017,                0.81811,                0.48881,                 1.4044,                0.97356,                 1.0217,              0.0016386,              0.0016386,              0.0016386
                     75,                 1.4481,                0.91179,                0.98128,                0.71674,                0.76295,                0.79634,                0.45839,                 1.4596,                0.98609,                 1.0176,              0.0016337,              0.0016337,              0.0016337
                     76,                 1.4778,                0.92391,                0.98306,                0.84378,                0.76277,                0.83841,                0.48513,                  1.424,                0.98799,                 1.0235,              0.0016287,              0.0016287,              0.0016287
                     77,                 1.4857,                0.92759,                 0.9875,                0.89802,                0.74427,                0.85552,                0.52468,                 1.3674,                0.91903,                 1.0226,              0.0016238,              0.0016238,              0.0016238
                     78,                 1.4554,                0.90965,                0.99464,                0.79366,                0.76336,                  0.823,                0.46755,                 1.4691,                0.97054,                 1.0498,              0.0016189,              0.0016189,              0.0016189
                     79,                 1.4876,                0.90491,                0.99092,                0.78742,                0.77481,                0.81516,                0.47525,                  1.443,                0.98863,                 1.0357,              0.0016139,              0.0016139,              0.0016139
                     80,                 1.4972,                0.92927,                0.99111,                0.80327,                0.77099,                0.84323,                0.52631,                  1.368,                0.91062,                 1.0092,              0.0016089,              0.0016089,              0.0016089
                     81,                 1.4625,                0.91328,                0.99239,                0.54019,                0.61832,                0.53291,                0.24936,                 1.9385,                 1.3506,                 1.3854,               0.001604,               0.001604,               0.001604
                     82,                 1.4922,                 0.9101,                0.97072,                 0.7791,                0.74037,                0.82143,                0.45451,                  1.451,                0.99524,                 1.0426,              0.0015991,              0.0015991,              0.0015991
                     83,                 1.4627,                0.90015,                0.97506,                0.85102,                0.75191,                0.84329,                0.51059,                 1.3686,                 0.9182,                 1.0058,              0.0015941,              0.0015941,              0.0015941
                     84,                  1.447,                0.89145,                 0.9779,                0.82051,                0.77099,                0.83445,                0.52239,                 1.3034,                0.88646,                0.99496,              0.0015892,              0.0015892,              0.0015892
                     85,                  1.469,                0.91475,                0.98111,                0.84529,                0.72991,                0.83591,                0.50796,                  1.348,                0.90478,                0.99455,              0.0015842,              0.0015842,              0.0015842
                     86,                 1.4623,                0.90295,                0.98997,                 0.8287,                0.73857,                0.82447,                0.49722,                 1.3841,                0.92453,                 1.0433,              0.0015793,              0.0015793,              0.0015793
                     87,                 1.4546,                0.90231,                0.98444,                0.75438,                0.65645,                0.71338,                0.39197,                 1.5516,                 1.0961,                  1.163,              0.0015743,              0.0015743,              0.0015743
                     88,                 1.4378,                0.89101,                0.98136,                0.83979,                0.76028,                0.84804,                0.52112,                  1.348,                0.91632,                 1.0059,              0.0015693,              0.0015693,              0.0015693
                     89,                 1.4152,                0.88325,                0.97145,                0.82349,                0.75573,                0.83812,                0.51825,                   1.33,                0.92548,                 1.0154,              0.0015644,              0.0015644,              0.0015644
                     90,                  1.438,                0.88111,                0.97014,                0.88032,                0.75573,                0.85901,                0.53944,                 1.2785,                0.88966,                0.98065,              0.0015594,              0.0015594,              0.0015594
                     91,                 1.4257,                0.85676,                0.96627,                0.84409,                0.74809,                0.83751,                0.50272,                  1.364,                0.86947,                 1.0033,              0.0015545,              0.0015545,              0.0015545
                     92,                  1.452,                0.88344,                0.97147,                0.86107,                0.73335,                0.84208,                0.49294,                 1.4072,                0.91481,                 1.0121,              0.0015496,              0.0015496,              0.0015496
                     93,                 1.4036,                0.86891,                0.96557,                 0.8416,                0.74046,                0.84095,                0.51764,                 1.3845,                0.89932,                0.98162,              0.0015446,              0.0015446,              0.0015446
                     94,                 1.4538,                0.89861,                0.97722,                0.80651,                0.75954,                0.84342,                0.50198,                 1.3677,                0.94616,                0.99496,              0.0015397,              0.0015397,              0.0015397
                     95,                  1.406,                0.87107,                0.97443,                0.86154,                0.83206,                0.88518,                0.54786,                 1.2923,                0.85135,                0.96439,              0.0015347,              0.0015347,              0.0015347
                     96,                 1.4033,                0.85692,                0.96236,                0.67381,                0.61069,                0.64811,                0.36278,                 1.6584,                 1.2417,                 1.1545,              0.0015298,              0.0015298,              0.0015298
                     97,                 1.4311,                0.86577,                0.96775,                0.82806,                 0.8088,                0.86357,                0.51978,                 1.3625,                0.89338,                 1.0029,              0.0015248,              0.0015248,              0.0015248
                     98,                 1.4692,                0.88203,                0.97855,                0.86371,                0.76336,                 0.8474,                0.49606,                 1.4089,                0.94247,                0.99585,              0.0015199,              0.0015199,              0.0015199
                     99,                 1.4335,                0.88388,                0.96928,                0.83098,                0.75954,                0.83572,                0.48876,                 1.4132,                0.93076,                 1.0083,              0.0015149,              0.0015149,              0.0015149
                    100,                  1.407,                0.85897,                0.96703,                0.83533,                0.77099,                0.81587,                0.49236,                 1.3749,                0.92464,                 1.0433,              0.0015099,              0.0015099,              0.0015099
